Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2017-08-22,Samsung calorie adjustment,Cardio,216.0,1,,,,,
2017-08-23,Samsung calorie adjustment,Cardio,144.0,1,,,,,
2017-08-24,Samsung calorie adjustment,Cardio,180.0,1,,,,,
2017-08-25,Samsung calorie adjustment,Cardio,307.0,1,,,,,
2017-08-26,Samsung calorie adjustment,Cardio,225.0,1,,,,,
2017-08-27,Samsung calorie adjustment,Cardio,324.0,1,,,,,
2017-08-28,Samsung calorie adjustment,Cardio,369.0,1,,,,,
2017-08-29,Samsung calorie adjustment,Cardio,190.0,1,,,,,
2017-08-30,Samsung calorie adjustment,Cardio,331.0,1,,,,,
2017-08-31,Samsung calorie adjustment,Cardio,195.0,1,,,,,
2017-09-01,Samsung calorie adjustment,Cardio,226.0,1,,,,,
2017-09-02,Samsung calorie adjustment,Cardio,347.0,1,,,,,
2017-09-03,Samsung calorie adjustment,Cardio,324.0,1,,,,,
2017-09-04,Samsung calorie adjustment,Cardio,168.0,1,,,,,
2017-09-05,Samsung calorie adjustment,Cardio,365.0,1,,,,,
2017-09-06,Samsung calorie adjustment,Cardio,193.0,1,,,,,
2017-09-07,Samsung calorie adjustment,Cardio,241.0,1,,,,,
2017-09-08,Samsung calorie adjustment,Cardio,239.0,1,,,,,
2017-09-09,Samsung calorie adjustment,Cardio,252.0,1,,,,,
2017-09-10,Samsung calorie adjustment,Cardio,573.0,1,,,,,
2017-09-11,Samsung calorie adjustment,Cardio,192.0,1,,,,,
2017-09-12,Samsung calorie adjustment,Cardio,96.0,1,,,,,
2017-09-13,Samsung calorie adjustment,Cardio,201.0,1,,,,,
2017-09-14,Samsung calorie adjustment,Cardio,231.0,1,,,,,
2017-09-15,Samsung calorie adjustment,Cardio,83.0,1,,,,,
2017-09-16,Samsung calorie adjustment,Cardio,358.0,1,,,,,
2017-09-17,Samsung calorie adjustment,Cardio,181.0,1,,,,,
2017-09-18,Samsung calorie adjustment,Cardio,199.0,1,,,,,
2017-09-19,Samsung calorie adjustment,Cardio,117.0,1,,,,,
2017-09-20,Samsung calorie adjustment,Cardio,204.0,1,,,,,
2017-09-21,Samsung calorie adjustment,Cardio,233.0,1,,,,,
2017-09-22,Samsung calorie adjustment,Cardio,479.0,1,,,,,
2017-09-23,Samsung calorie adjustment,Cardio,225.0,1,,,,,
2017-09-24,Samsung calorie adjustment,Cardio,166.0,1,,,,,
2017-09-25,Samsung calorie adjustment,Cardio,169.0,1,,,,,
2017-09-26,Samsung calorie adjustment,Cardio,111.0,1,,,,,
2017-09-27,Samsung calorie adjustment,Cardio,173.0,1,,,,,
2017-09-28,Samsung calorie adjustment,Cardio,120.0,1,,,,,
2017-09-29,Samsung calorie adjustment,Cardio,210.0,1,,,,,
2017-09-30,Samsung calorie adjustment,Cardio,463.0,1,,,,,
2017-10-01,Samsung calorie adjustment,Cardio,168.0,1,,,,,
2017-10-02,Samsung calorie adjustment,Cardio,280.0,1,,,,,
2017-10-03,Samsung calorie adjustment,Cardio,143.0,1,,,,,
2017-10-04,Samsung calorie adjustment,Cardio,211.0,1,,,,,
2017-10-05,Samsung calorie adjustment,Cardio,107.0,1,,,,,
2017-10-06,Samsung calorie adjustment,Cardio,219.0,1,,,,,
2017-10-07,Samsung calorie adjustment,Cardio,193.0,1,,,,,
2017-10-08,Samsung calorie adjustment,Cardio,158.0,1,,,,,
2017-10-09,Samsung calorie adjustment,Cardio,198.0,1,,,,,
2017-10-10,Samsung calorie adjustment,Cardio,175.0,1,,,,,
2017-10-11,Samsung calorie adjustment,Cardio,279.0,1,,,,,
2017-10-12,Samsung calorie adjustment,Cardio,378.0,1,,,,,
2017-10-13,Samsung calorie adjustment,Cardio,99.0,1,,,,,
2017-10-14,Samsung calorie adjustment,Cardio,327.0,1,,,,,
2017-10-15,Samsung calorie adjustment,Cardio,184.0,1,,,,,
2017-10-16,Samsung calorie adjustment,Cardio,118.0,1,,,,,
2017-10-17,Samsung calorie adjustment,Cardio,206.0,1,,,,,
2017-10-18,Samsung calorie adjustment,Cardio,152.0,1,,,,,
2017-10-19,Samsung calorie adjustment,Cardio,171.0,1,,,,,
2017-10-20,Samsung calorie adjustment,Cardio,120.0,1,,,,,
2017-10-21,Samsung calorie adjustment,Cardio,301.0,1,,,,,
2017-10-22,Samsung calorie adjustment,Cardio,242.0,1,,,,,
2017-10-23,Samsung calorie adjustment,Cardio,221.0,1,,,,,
2017-10-24,Samsung calorie adjustment,Cardio,122.0,1,,,,,
2017-10-25,Samsung calorie adjustment,Cardio,120.0,1,,,,,
2017-10-26,Samsung calorie adjustment,Cardio,160.0,1,,,,,
2017-10-27,Samsung calorie adjustment,Cardio,180.0,1,,,,,
2017-10-28,Samsung calorie adjustment,Cardio,196.0,1,,,,,
2017-10-29,Samsung calorie adjustment,Cardio,341.0,1,,,,,
2017-10-30,Samsung calorie adjustment,Cardio,361.0,1,,,,,
2017-10-31,Samsung calorie adjustment,Cardio,325.0,1,,,,,
2017-11-01,Samsung calorie adjustment,Cardio,314.0,1,,,,,
2017-11-02,Samsung calorie adjustment,Cardio,287.0,1,,,,,
2017-11-03,Samsung calorie adjustment,Cardio,413.0,1,,,,,
2017-11-04,Samsung calorie adjustment,Cardio,112.0,1,,,,,
2017-11-05,Samsung calorie adjustment,Cardio,490.0,1,,,,,
